"Adventures of Huckleberry Finn, The","Vol 5","Mark","Twain",,"hfin510h.html","Dec",2004,
"Adventures of Huckleberry Finn, The","Vol 6","Mark","Twain",,"hfin610h.html","Dec",2004,
"Adventures of Huckleberry Finn, The","Vol 7","Mark","Twain",,"hfin710h.html","Dec",2004,
"Adventures of Huckleberry Finn, The","Vol 8","Mark","Twain",,"hfin810h.html","Dec",2004,
"Adventures of Huckleberry Finn, The",,"Mark","Twain","hfinn12.txt",,"Aug",1993,
"Adventures of Robin Hood, The",,"Howard","Pyle","2rbnh10.txt",,"Jul",1997,
"Adventures of Roderick Random, The",,,"Smollett","8rran10.txt",,"May",2003,
"Adventures of Sherlock Holmes, The",,"Arthur C.","Doyle","advsh12.txt","advsh12h.htm","Mar",1999,
"Adventures of Tom Sawyer, The","Vol 1","Mark","Twain",,"saw110h.html","Dec",2004,
"Adventures of Tom Sawyer, The","Vol 2","Mark","Twain",,"saw210h.html","Dec",2004,
"Adventures of Tom Sawyer, The","Vol 3","Mark","Twain",,"saw310h.html","Dec",2004,
"Adventures of Tom Sawyer, The","Vol 4","Mark","Twain",,"saw410h.html","Dec",2004,
"Adventures of Tom Sawyer, The","Vol 5","Mark","Twain",,"saw510h.html","Dec",2004,
"Adventures of Tom Sawyer, The","Vol 6","Mark","Twain",,"saw610h.html","Dec",2004,
"Adventures of Tom Sawyer, The","Vol 7","Mark","Twain",,"saw710h.html","Dec",2004,
"Adventures of Tom Sawyer, The","Vol 8","Mark","Twain",,"saw810h.html","Jan",2005,
"Adventures of Tom Sawyer, The",,"Mark","Twain","sawyr11.txt",,"Jul",1993,
"Aeneid, The",,,"Virgil","anidl10.txt",,"May",1995,"Latin"
"Aeneid, The (Dryden)",,,"Virgil","anide10.txt",,"May",1995,
"Aeropagitica",,"John","Milton","areop10.txt",,"Jul",1996,
"Aesop's Fables",,,"Aesop","aesop11.txt","aesop11h.htm","Nov",1991,
"Afghanistan-Anglo-Russian Dispute, The",,,"Rodenbough","aaard10.txt","aaard10h.htm","Jan",2005,
"African Millionaire, The",,"Grant","Allen","8frml10.txt",,"Dec",2003,
"Age of Innocence, The",,"Edith","Wharton","agino10.txt",,"May",1996,
"Age of Reason, The",,"Thomas","Paine","twtp410.txt",,"Feb",2003,
"Agnes Grey",,"Anne","Bronte","agnsg10.txt","agnsg10h.htm","Dec",1996,
"Alchemist, The",,"Ben","Jonson","lchms10.txt",,"May",2003,
"Alice in Wonderland",,"Lewis","Carroll","alice30.txt",,"Jan",1991,
"All's Well That Ends Well",,"William","Shakespeare","2ws3010.txt",,"Nov",1998,
"American Crisis, The",,"Thomas","Paine","twtp110.txt",,"Feb",2003,
"Analects of Confucius, The",,,"Confucius","cnfcs10.txt",,"Jul",2002,
"Ancient Poems, Ballads and Songs of England",,"Robert","Bell","oleng10.txt","oleng10h.htm","Sep",1996,
"Andersonville",,"John","McElroy","andvl11.txt","andvl11h.html","Feb",2002,
"Anecdotes of Johnson",,"Hesther Lynch ","Piozzi","andsj10.txt",,"Dec",2000,
"An Icelandic Primer",,"Harry","Sweet","clprm10u.txt","clprm10h.html","Apr",2004,"Icelandic"
"Anna Christie",,"Eugene","O'Neill","nnchr10.txt",,"May",2003,
"Anna Karenina",,"Leo ","Tolstoi","nkrnn11.txt",,"Jul",1998,
"Annals of Jamaica Plain",,"Harriet M.","Whitcomb","arjpl10.txt",,"Dec",2004,
"Anne of Avonlea",,"Lucy Maud ","Montgomery","avon10.txt",,"Dec",1992,
"Anne of Green Gables",,"Lucy Maud ","Montgomery","anne11.txt",,"Nov",1992,
"Anthem",,"Ayn","Rand","anthm10z.txt",,"Mar",1998,
"Antony and Cleopatra",,"William","Shakespeare","2ws3510.txt",,"Nov",1998,
"Apollo 11 Lunar Landing",,,"US Government","landing.avi",,"Mar",1994,
"Apollo 11 Lunar Landing readme file",,,"US Government","read116.me",,"Mar",1994,
"Arcadian Adventures with the Idle Rich",,"Stephen","Leacock","rcddv10.txt",,"May",2003,
"Argonautica, The",,,"Apollonius","1argn10.txt",,"Feb",1997,
"Argonautica, The",,"Apollonius ","Rhodius","1argn10.txt",,"Feb",1997,
"Army Life in a Black Regiment",,"T.","Higginson","armyl10.txt",,"Oct",2004,
"Around the World in 80 Days",,"Jules","Verne","80day11.txt",,"Jan",1994,
"Art of the Story-Teller, The",,"Marie   ","Shedlock","strtt10.txt","strtl10h.htm","Jun",2004,
"Art of War, The",,"Sun","Tzu","sunzu10.txt",,"May",1994,
"As You Like It",,"William","Shakespeare","2ws2510.txt",,"Nov",1998,
"Atlantis: The Antideluvian World",,"Ignatius","Donnelly","8ataw11.txt",,"May",2003,
"Authors of Greece",,"T.W.","Lumb","8augr10.txt",,"May",2005,
"Autiobiography of Charles Darwin, The",,"Charles","Darwin","adrwn10.txt",,"Dec",1999,
"Autobiography of Benjamin Franklin, The",,"Benjamin","Franklin","bfaut10.txt",,"Jul",1994,
"Autobiography of Benvenuto Cellini (Symonds)",,"Benvenuto","Cellini","8clln10.txt",,"May",2003,
"Autobiography of Black Hawk, The",,"Black","Hawk","bhawk10.txt",,"Dec",2004,
"Autobiography of Theodore Roosevelt",,"Theodore","Roosevelt","trabi10.txt",,"Jul",2002,
"Barchester Towers","Ecclesiastical Novel #2","Anthony","Trollope","btowe10.txt",,"Dec",2000,
"Beauty and the Beast, The",,"Marie Le Prince","De Beaumont","btbst10.txt",,"Dec",2004,
"Beethoven: The Man And The Artist",,,"Kerst & Krehbiel","lvbma11.txt",,"Nov",2002,
"Ben-Hur: A Tale of the Christ",,"Lew","Wallace","benhr10.txt",,"Apr",2000,
"Beowulf",,,"Anonymous","bwulf11.txt","bwulf11h.htm","Jul",1997,
"Beyond Good and Evil",,"Friedrich","Nietzsche","bygdv10.txt",,"Aug",2003,
"Bhagavad-Gita,The (Sir Edward Arnold)",,,"Various","bgita10.txt",,"Nov",2000,
"Bible in Spain, The",,"George","Barrow","tbisp10.txt","tbisp10h.htm","Jan",1996,
"Birds, The",,,"Aristophanes","birds10.txt",,"Jan",2002,
"Black Beauty",,"Anna","Sewell","bbeau10.txt",,"May",1995,
"Bleak House",,"Charles","Dickens","blkhs10.txt","blkhs10h.htm","Aug",1997,
"Bobbsey Twins at Snow Lodge",,"Laura","Hope","btsnl10.txt",,"Jul",2004,
"Book of Mormon, The",,"Joseph","Smith","mormon13.txt",,"Jul",1991,
"Book of Nonesense, The",,"Edward","Lear","nnsns10.txt",,"Jul",1997,
"Boyhood in Norway",,"Hjalmar Hjorth","Boyesen","bnrwy10.txt",,"Jan",1997,
"Brief History of Panics, A",,"Clement","Juglar ","panic10.txt",,"Feb",2005,
"Bulfinch's Mythology",,"Thomas","Bulfinch","bllfn10.txt",,"Jan",2004,
"Caesar's Commentaries on the Gallic Wars",,"Julius","Caeser","galli10.txt",,"Feb",1995,"Latin"
"Call of the Wild, The",,"Jack","London","callw10.txt",,"Feb",1995,
"Canada and Other Poems",,"T.F.","Young","canpw10.txt",,"Nov",2004,
"Canada and the States",,"Edward William ","Watkin","cnstr10.txt",,"Nov",2004,
"Candido, o El Optimismo",,,"Voltaire","8cand10.txt",,"Dec",2004,"Spanish"
"Canterbury Tales, The",,"Geoffrey","Chaucer","cbtls12.txt",,"Nov",2000,
"Captains Courageous",,"Rudyard","Kipling","cptcr11a.txt",,"Jun",2000,
"Cartrefi Cymru",,"Owen","Edwards","crtcm10.txt","crtcm10h.htm","Jan",2003,"Welsh"
"Caxtons, The",,"E.B.","Lytton","b033w10.txt",,"May",2005,
"Celtic Fairy Tales",,"Joseph","Jacobs","8celt10.txt",,"Apr",2005,
"Chaucer",,"Adolphus","Ward","chacr10.txt",,"Jan",2003,
"Chess History and Reminiscences",,"H.E.","Bird","chshr10.txt",,"Jan",2004,
"Childhood",,"Leo ","Tolstoi","chldh10.txt",,"Apr",2000,
"Christmas Carol, A",,"Charles","Dickens","carol13.txt",,"Dec",1992,
"Cinderella",,,"Anonymous","cndrl10.txt",,"Jan",1999,
"Clelia",,"Giuseppe","Garibaldi","8clel10.txt",,"Dec",2004,"Italian"
"Clockmaker, The",,"Thomas","Haliburton","clckm10.txt",,"Jun",2004,
"Clouds, The",,,"Aristophanes","cloud10.txt",,"Mar",2001,
"Collection of Hesiod, Homer and Homerica",,,"Various","homer10.txt",,"Oct",1995,
"Comedy of Errors, The",,"William","Shakespeare","2ws0610.txt",,"Nov",1998,
"Common Sense",,"Thomas","Paine","comsn10.txt",,"Jul",1994,
"Communistic Societies of the United States, The",,,"Nordhoff","8csus10.txt",,"May",2005,
"Communist Manifesto",,,"Marx & Engles","manif12.txt",,"Apr",1993,
"Complete Essays of Montaigne, The",,,"Montaigne","mn20v11.txt",,"Dec",2002,
"Complete Grammar of Esperanto, A",,"Ivy ","Kellerman","esper10.txt","esper10h.htm","Mar",2005,
"Complete Plays of Gilbert and Sullivan",,,"Gilbert, Sullivan","cpogs10.txt",,"Feb",1997,
"Complete Shakespeare's First Folio, The",,"William","Shakespeare","00ws110.txt",,"Jul",2000,
"Complete Short Stories of Maupassant",,,"Maupassant","gm00v11.txt",,"Feb",2002,
"Complete State of the Union Addresses",,,"Various","suall10.txt",,"Feb",2004,
"Complete US Presidential Inagural Addresses",,,"Various","inagu10.txt",,"Jan",2004,
"Complete Works of Percy Bysshe Shelley, The",,"Percy","Shelley","shlyc10.txt",,"Dec",2003,
"Confessions",,"J.J.","Rousseau","jj13b10.txt","jj13b10h.html","Apr",2003,
"Confessions of St. Augustine, The",,,"Augustine","tcosa10.txt",,"Jun",2002,
"Conservation of the Races, The",,"W. E. B.","DuBois","conra10.txt",,"May",2004,
"Coriolanus",,"William","Shakespeare","2ws3610.txt",,"Nov",1998,
"Count of Monte Cristo, The",,"Alexander","Dumas","crsto12.txt",,"Jan",1998,
"Crime and Punishment",,"Fyodor","Dostoyevsky","8crmp10.txt",,"Mar",2001,
"Critical and Historical Essays","Vol 1",,"Macaulay","1cahe10.txt",,"Sep",2000,
"Critical and Historical Essays","Vol 2",,"Macaulay","2cahe10.txt",,"Sep",2000,
"Criticisms on Origin of Species",,"Thomas","Huxley","thx1010.txt",,"Nov",2001,
"Critique of Pure Reason, The",,"Immanuel","Kant","cprrn10.txt",,"Jul",2003,
"Cromwell","Apocryphal","William","Shakespeare","1ws4910.txt",,"May",1999,
"Cymbeline",,"William","Shakespeare","2ws3910.txt",,"Nov",1998,
"Cyrano de Bergerac",,"Edmond","Rostand","cdben10.txt",,"Mar",1998,
"Cyrano de Bergerac",,"Edmond","Rostand","cdbfr10.txt","cdbfr10h.htm","Mar",1998,"French"
"Cyropaedia (Dakyns)",,,"Xenophon","cyrus10.txt",,"Feb",2000,
"Damsel in Distress",,"P.G.","Wodehouse","dmsnd11.txt",,"Jun",2000,
"Danish History, Books I-IX",,"Saxo","Grammaticus","dnhst10.txt",,"Dec",1997,
"David Copperfield",,"Charles","Dickens","cprfd10.txt",,"Dec",1996,
"David Crockett: His Life and Adventures",,"John S. C.","Abbott","dchla10.txt",,"Aug",2003,
"Death of Socrates: Apology","1 of 3",,"Plato","pplgy10.txt",,"Feb",1999,
"Death of Socrates: Crito","2 of 3",,"Plato","crito10.txt","crito10h.htm","Mar",1999,
"Death of Socrates: Phaedo","3 of 3",,"Plato","phado10.txt",,"Mar",1999,
"Decameron, The","Vol 01","Giovanni ","Boccaccio","thdcm10.txt",,"Feb",2003,
"Declaration of Independence",,,"US Government","when12.txt","when12h.htm","Dec",1971,
"Decline and Fall of the Roman Empire","Vol 1","Edward","Gibbon","1dfre10.txt","dfre110.htm","Nov",1996,
"Decline and Fall of the Roman Empire","Vol 2","Edward","Gibbon","2dfre11.txt","dfre210.htm","Nov",1996,
"Decline and Fall of the Roman Empire","Vol 3","Edward","Gibbon","3dfre10.txt","dfre310h.htm","Nov",1996,
"Decline and Fall of the Roman Empire","Vol 4","Edward","Gibbon","4dfre10.txt","dfre410.htm","Nov",1996,
"Decline and Fall of the Roman Empire","Vol 5","Edward","Gibbon","5dfre11.txt","dfre510.htm","Nov",1996,
"Decline and Fall of the Roman Empire","Vol 6","Edward","Gibbon","6dfre10.txt","dfre610.htm","Nov",1996,
"Der Landprediger",,"Jacob","Lenz","8lndp10.txt",,"Nov",2004,"German"
"Descartes' Reason Discourse",,"Rene","Descartes","dcart10.txt",,"Mar",1993,
"Descent of Man, The",,"Charles","Darwin","dscmn10.txt",,"Aug",2000,
"Diary of a U-boat Commander, The",,,"Anonymous","8dubc10.txt","8dubc10h.htm","Apr",2005,
"Diary of Samuel Pepys",,"Samuel","Pepys","sp85g10.txt",,"Jun",2003,
"Discourses on Satire & Epic Poetry",,"John","Dryden","dscep10.txt",,"May",2001,
"Doctor Faustus",,"Christopher","Marlowe","drfst10.txt",,"Feb",1997,
"Doctor Thorne","Ecclesiastical Novel #3","Anthony","Trollope","drthn11.txt",,"Apr",2002,
"Dog's Tale, A",,"Mark","Twain","mtdtl11.txt","mtdtl11h.html","Apr",2002,
"Don Quixote  ",,"Miguel de","Cervantes","2donq10.txt","2donq10h.htm","Dec",1999,"Spanish"
"Don Quixote  ",,"Miguel de","Cervantes","1donq10.txt",,"Jun",1997,
"Don Quixote Part I (Dore)",,"Miguel de","Cervantes",,"qxp1w10h.html","Jun",2004,
"Don Quixote Part II (Dore)",,"Miguel de","Cervantes",,"qxp1w10h.html","Jun",2004,
"Dorothy and the Wizard in Oz","Oz Book 4","L. Frank","Baum","doroz10.txt","doroz10h.htm","Feb",1996,
"Dot and the Kangaroo",,"Ehtel","Pedley","dkang10.txt",,"Feb",2003,
"Dracula",,"Bram ","Stoker","dracu12.txt",,"Oct",1995,
"Dubliners",,"James","Joyce","dblnr11.txt","dblnr11h.htm","Sep",2001,
"Du Cote de Chez Swann",,"Marcel","Proust","8swan11.txt",,"May",2001,"French"
"Early European History",,"Hutton ","Webster","8euhs10.txt",,"Apr",2005,
"Education of Henry Adams, The",,"Henry","Adams","eduha10.txt","eduha10h.htm","Jan",2000,
"Eight Years Wandering in Ceylon",,"Samuel","Baker","8year10.txt",,"Jan",2000,
"Engish Fairy Tales",,"Joseph","Jacobs","8eftl10.txt",,"Feb",2005,
"England Under the Tudors",,"Arthur","Innes","8gtdr10.txt",,"Oct",2004,
"English Constitution, The",,"Walter ","Bagehot","thngl10.txt",,"Aug",2003,
"Entire PG Works by George Meredith, The",,"George","Meredith","gn06v10.txt",,"Sep",2003,
"Eocene, or The Silent Woman",,"Ben ","Jonson","eotsw10.txt",,"May",2003,
"Epopee to the Forgotten",,"Ivan","Yazov","vazov10.txt","vazov10h.htm","Oct",2001,"Bulgarian"
"Essay on Criticism",,"Alexander","Pope","esycr10.txt","esycr10h.htm","Feb",2005,
"Essay on Man",,"Alexander","Pope","esymn10.txt",,"Dec",2000,
"Essays of Francis Bacon, The",,"Francis","Bacon","ebacn10.txt",,"Jun",1996,
"Ethics","Part 1","Benedict","de Spinoza","1spne10.txt",,"May",1997,
"Ethics","Part 2","Benedict","de Spinoza","2spne10.txt",,"May",1997,
"Ethics","Part 3","Benedict","de Spinoza","3spne10.txt",,"Jul",1997,
"Ethics","Part 4","Benedict","de Spinoza","4spne10.txt",,"Jul",1997,
"Ethics","Part 5","Benedict","de Spinoza","5spne10.txt",,"Jul",1997,
"Every Man in His Humor",,"Ben","Jonson","emihh10a.txt",,"May",2004,
"Every Man Out of His Humor",,"Ben","Jonson","emohh10.txt",,"May",2003,
"Evolution of Theology: An Anthropological Study",,"Thomas","Huxley","8saht10.txt",,"May",2001,
"Fall of the Niebelungs, The",,,"Anonymous","niebl10.txt",,"Jan",2003,
"Fall of Troy, The",,"Quintus ","Smyrnaeus","ftroy10.txt",,"Sep",1996,
"Famous Men of the Middle Ages",,,"Haaren & Poland ","8fmtm10.txt",,"Feb",2003,
"Federalist Papers, The",,,"Various","feder16.txt",,"Aug",1991,
"Few Figs from Thistles, A",,"Edna","St. Vincent Millay","fgths10.txt",,"Aug",2003,
"Fifteen Decisive Battles of The World, The",,,"Creasy","tfdbt10.txt",,"May",2003,
"First Voyage Round the World",,"James","Cook","cfvrw10.txt","cook.html","May",2005,
"Five Weeks in a Balloon",,"Jules","Verne","5wiab10.txt",,"Nov",2002,
"Foolish Dictionary, The",,"Gideon ","Wurdz","fldct10.txt",,"Dec",1999,
"Forbidden Gospels and Epistles",,,"Wake","fb10w11.txt","fb10w11h.html","Sep",2004,
"Forgotten Empire, A",,"Robert","Sewell","fevch10.txt",,"Jul",2002,
"Forme of Cury, The ","Roll of Ancient English Cookery Compiled, A","Samuel ","Pegge","8cury10.txt",,"May",2005,
"Four Arthurian Romances",,"Chretien","DeTroyes","dtroy10.txt",,"Feb",1997,
"Frankenstein",,"Mary","Shelly","frank14.txt",,"Oct",1993,
"Frederick Chopin as a Man and Musician","Vol 1","Frederick ","Niecks","fkchp10.txt",,"Nov",2003,
"Frederick Douglass, Narrative of the Life of",,"Frederick","Douglass","duglas11.txt",,"Jan",1992,
"Frogs, The",,,"Aristophanes","8frog10.txt",,"Apr",2005,
"From Earth to the Moon",,"Jules ","Verne","moon10.txt",,"Sep",1993,
"From London to Land's End",,"Daniel","Defoe","lndle10.txt",,"Dec",1997,
"Fugitive, The",,"Rabindranath ","Tagore","tfgtv10.txt",,"Apr",2005,
"Gargantua and Pantagruel",,"Francis","Rabelais","ggpnt10.txt",,"Feb",1998,
"Germany and the Agricola of Tacitus",,,"Tacitus","8aggr10.txt",,"Feb",2005,
"Ghosts",,"Henrik","Ibsen","8ghst10.txt",,"May",2005,
"Give Me Liberty or Give Me Death",,"Patrick","Henry","liber11.txt","liber11h.htm","Dec",1976,
"Golden Bough, The",,"James G.","Frazer","bough11.txt","bough11h.htm","Jan",2003,
"Golden Bowl, The",,"William","James","gbwlc10.txt",,"Jul",2003,
"Great Expectations",,"Charles","Dickens","grexp10a.txt",,"Jul",1998,
"Grimm's Fairy Tales",,,"Grimm & Grimm","grimm10.txt",,"Apr",2001,
"Guide to Reading, A",,,"Abbott & Dickenson","8read10.txt",,"Dec",2004,
"Gulliver's Travels",,"Jonathan","Swift","gltrv10.txt","gltrv10h.htm","Feb",1997,
"Hamlet",,"William","Shakespeare","2ws2610.txt",,"Nov",1998,
"Handbook of Ethical Theory",,"George","Fullerton","hbtht10.txt",,"Sep",2004,
"Han d'Islande",,"Victor","Hugo","handi10.txt",,"Nov",2004,"French"
"Happy Prince & Other Tales, The",,"Oscar","Wilde","hpaot10.txt",,"May",1997,
"Hard Times",,"Charles","Dickens","hardt10.txt",,"Jan",1997,
"Hard Times",,"Charles","Dickens","hardt10.txt",,"Jan",1997,
"Haydn",,"J. Cuthbert ","Hadden","hhmms11.txt",,"Feb",2003,
"Heart of Darkness, The",,"Joseph","Conrad","hdark12a.txt",,"May",1996,
"Helen of Troy",,"Andrew","Lang","hlnty10.txt",,"May",2002,
"Henry Fielding: A Memoir",,"G. M.","Godden","8hfld10.txt","8hfld10h.htm","May",2005,
"Henry VIII And His Court",,"Louise","Muhlbach","h8ahc10.txt",,"Oct",2002,
"Himalayan Journals",,"J.D.","Hooker","hmjnc11.txt","index.html","Sep",2004,
"His Last Bow",,"Arthur C.","Doyle","lstbw10.txt",,"Oct",2000,
"History of American Literature",,"Reuben","Halleck","mrclt10.txt",,"Sep",2004,
"History of California",,"Helen Elliott","Bandini","8hcal10.txt",,"Mar",2005,
"History of English Literature, A",,"R.H.","Fletcher","8hist10.txt",,"Jan",2005,
"History of Greek Art, A",,"F.B.","Tarbell","hgrkr10.txt",,"Aug",2003,
"History of Herodotus","Vol 1",,"Herodotus","1hofh10.txt",,"Jul",2001,
"History of Herodotus","Vol 2",,"Herodotus","2hofh10.txt",,"Jul",2001,
"History of Phoenicia",,"George","Rawlinson","hphnc10.txt",,"Sep",2000,
"History of Roman Literature",,"C. T.","Cruttwel","8romn10.txt",,"Feb",2005,
"History of Rome from 476 AD",,"Robert","Pennell","8rome10.txt",,"Nov",2004,
"History of the Britons, The",,,"Nennius","brtns10.txt",,"Nov",1999,
"History of the Catholic Church",,"J.  ","MacCaffrey","hcath10.txt",,"Nov",2000,
"History of the Impeachment of Andrew Johnson",,"Edmund G.","Ross","hioaj10.txt",,"Dec",2000,
"History of the Peloponnesian War",,,"Thucydides","plpwr10.txt",,"Dec",2004,
"History of the Thirty Years' War, The",,,"Schiller","1jcfs10.txt",,"Jun",1996,
"History of the United States [1492-1775]","Vol. 1","Julian","Hawthorne","8ushx10.txt",,"Dec",2004,
"History of Tom Jones, The",,"Henry","Fielding","8tomj10.txt",,"Sep",2004,
"Holy Bible: New Testament (Douay-Rheims)",,,"Various","3drvb10.txt",,"Dec",1998,
"Holy Bible: Old Testament (Douay-Rheims)","Vol 1",,"Various","1drvb10.txt",,"Jan",1999,
"Holy Bible: Old Testament (Douay-Rheims)","Vol 2",,"Various","2drvb10.txt",,"Jan",1999,
"Holy Bible (King James Version)",,,"Various","kjv10.txt","bib0010h.htm","Aug",2005,
"Homer and His Age",,"Andrew","Lang","8homr10.txt",,"Apr",2005,
"Home Vegetable Gardening",,"F.P.","Rockwell","8hmvg10.txt",,"Dec",2004,
"Hound of the Baskervilles, The",,"Arthur C.","Doyle","bskrv11a.txt",,"Feb",2002,
"Howard's End",,"E.M.","Forster","hoend10.txt","hoend10h.htm","Dec",2001,
"How Members of Congress Are Bribed",,"Joseph","Moore","bribe10.txt",,"Jul",2002,
"How Tell a Story and Others",,"Mark","Twain","mthts11.txt",,"May",2002,
"How to Live a Holy Life",,"C.E.","Orr","holyw10.txt",,"Nov",2004,
"Iceland Fisherman, An",,"Pierre","Loti","icfsh10.txt",,"May",2000,
"Idiot, The",,"Fyodor","Dostoyevsky","idiot10.txt",,"May",2001,
"Idols of Paris, The",,"Sarah","Berdhardt","8idol10.txt",,"Dec",2004,
"Idylls of the King",,"Robert","Tennyson","idyll10a.txt",,"Aug",1996,
"Iliad, The (Pope)",,,"Homer","iliad10b.txt",,"Jul",2004,
"Imitation of Christ, The",,"Thomas","A Kempis","mcrst11.txt",,"Feb",1999,
"Importance of Being Earnest, The",,"Oscar","Wilde","tiobe10.txt",,"Mar",1997,
"In Ghostly Japan",,"Lafcadio","Hearn","8igjp10.txt",,"May",2005,
"In Search of the Castaways",,"Jules","Verne","cstwy11.txt",,"Feb",2000,
"Insidious Dr. Fu Manchu, The",,"Sax","Rohmer","fuman12.txt",,"Oct",1994,
"Inspector-General, The",,"Nikolai ","Gogol","trthn10.txt",,"Feb",2003,
"In the Heart of Africa",,"Samuel White","Baker","ithoa10.txt",,"May",2002,
"Irish Fairy Tales",,"James","Stephens ","rshft10.txt",,"Nov",2001,
"Irish Race in the Past and the Present",,,"Thebaud","irish10.txt",,"Mar",2002,
"Ironia Pozorow",,"Maciej hr.","Lubienski","rnpz810.txt","rnpz10h.htm","Jun",2004,
"Island of Dr. Moreau, The",,"H.G.","Wells","dmoro11.txt",,"Aug",1994,
"Is Shakespeare Dead?",,"Mark","Twain","shkdd10.txt",,"Dec",2000,
"Jane Eyre",,"Charlotte","Bronte","janey11.txt","janey11h.htm","Mar",1998,
"Japanese Fairy Tales",,"Yei Theodora","Ozaki","jpnft10.txt",,"May",2003,
"Jefferson and his Colleagues",,"Allen","Johnson","jandc10.txt",,"Jan",2002,
"Jesuits in North America",,"Francis ","Parkman","8tjna10.txt",,"Dec",2004,
"Jewel of Seven Stars, The",,"Bram","Stoker","thjwl10.txt",,"Feb",2003,
"Jew of Malta, The",,"Christopher","Marlowe","jmlta10.txt",,"May",1997,
"Johnson's Notes to Shakespeare ","Vol. I Comedies","Samuel ","Johnson","8josh10.txt",,"Mar",2005,
"Journals of Lewis and Clarke 1804-1806, The",,,"Lewis & Clark","lcjnl10.txt",,"Jul",2005,
"Journey to the Interior of the Earth, A",,"Jules","Verne","8jrny10.txt",,"Feb",2003,
"Judaism",,"Israel","Abrahams","judsm10.txt",,"Nov",2004,
"Jude the Obscure",,"Thomas","Hardy","jude11.txt",,"Aug",1994,
"Julius Caesar",,"William","Shakespeare","2ws2410.txt",,"Nov",1998,
"Jungle, The",,"Upton","Sinclair","jungl10.txt",,"Jun",1994,
"Jungle Book, The",,"Rudyard","Kipling","jnglb10.txt",,"May",1995,
"Junior Classics, The",,,"Various","8jrc710.txt",,"Aug",2004,
"Kalevala, The",,"Elias","Lonnrot","kalev10.txt",,"Nov",2004,"Finnish"
"Kalevala, The (Crawford)",,"Elias","Lonnrot","kalec10.txt",,"Feb",2004,
"Kansas Women in Literature",,"Nettie Garmer ","Barker","kswom10.txt",,"Dec",1995,
"King Henry IV","Part 1","William","Shakespeare","2ws1910.txt",,"Nov",1998,
"King Henry IV","Part 2","William","Shakespeare","2ws2110.txt",,"Nov",1998,
"King Henry V",,"William","Shakespeare","2ws2310.txt",,"Nov",1998,
"King Henry VI","Part 1","William","Shakespeare","2ws0110.txt",,"Oct",1998,
"King Henry VI","Part 2","William","Shakespeare","2ws0210.txt",,"Oct",1998,
"King Henry VI","Part 3","William","Shakespeare","2ws0310.txt",,"Oct",1998,
"King Henry VIII",,"William","Shakespeare","2ws4210.txt",,"Nov",1998,
"King John",,"William","Shakespeare","2ws1410.txt",,"Nov",1998,
"King Lear",,"William","Shakespeare","2ws3310.txt",,"Nov",1998,
"King Richard II",,"William","Shakespeare","2ws1510.txt",,"Nov",1998,
"King Richard III",,"William","Shakespeare","2ws0410.txt",,"Nov",1998,
